query,ground truth,semantic search (word2vec),common articles (word2vec),common links (word2vec),semantic search (tsdae),common articles (tsdae),common links (tsdae)
π dagur,1,10,0,58,10,0,15
vagna,15,10,0,249,10,0,231
vagn,29,10,0,665,10,0,446
vaktir,4,10,0,95,10,0,66
vaka,21,10,0,321,10,0,335
vafri,5,10,0,126,10,0,97
vatn,636,10,0,10833,10,0,9978
vatnalíffræði,2,10,0,113,10,0,30
vatnafræði,2,10,0,94,10,0,31
vatnshlot,1,10,0,42,10,0,14
vatnsorka,1,10,0,57,10,0,16
vatt,13,10,0,322,10,0,210
vaðmál,4,10,0,94,10,0,62
varða,181,10,0,2881,10,0,2967
varna,101,10,0,1657,10,0,1657
varta,72,10,0,1186,10,0,1253
varnarstríð,2,10,0,53,10,0,31
varðhundur,4,10,0,79,10,0,71
varmafræði,9,10,0,257,10,0,176
varmi,3,10,0,120,10,0,50
varpasveifgras,1,10,0,22,10,0,17
varðskip,7,10,0,128,10,0,136
varið land,1,10,0,16,10,0,16
vallaskóli,2,10,0,32,10,0,32
vallarsveifgras,2,10,0,51,10,0,35
vala,80,10,0,1274,10,0,1164
valréttarsamningur,2,10,0,49,10,0,30
vallarfoxgras,2,10,0,53,10,0,31
val,1347,10,0,20676,10,0,22044
vald,610,10,0,9494,10,0,9343
valur,13,10,0,206,10,0,225
valdi,155,10,0,2837,10,0,2504
valva,14,10,0,226,10,0,216
vanda,78,10,0,1312,10,0,1383
vanir,14,10,0,381,10,0,240
vampíra,3,10,0,138,10,0,52
vamm,40,10,0,607,10,0,637
vax,242,10,0,4004,10,0,3867
vænghaf,9,10,0,153,10,0,139
vögguprent,1,10,0,56,10,0,16
vökvi,22,10,0,383,10,0,372
vöðvi,5,10,0,99,10,0,87
vörður,38,10,0,637,10,0,608
vörtusvín,2,10,0,114,10,0,32
vörtubaugur,1,10,0,34,10,0,15
vörumerki,20,10,0,360,10,0,311
vörubíll,1,10,0,16,10,0,16
vörpun,28,10,0,559,10,0,494
vigur,38,10,0,689,10,0,591
vigri,4,10,0,60,10,0,63
vigfús,1,10,0,18,10,0,15
viktor,1,10,0,16,10,0,18
vikur,20,10,0,391,10,0,322
vikivaki,2,10,0,44,10,0,35
vikar,5,10,0,74,10,0,76
vika,42,10,0,937,10,0,739
vitis vinifera,1,10,0,45,10,0,15
viti,36,10,0,684,10,0,588
viðskeyti,10,10,0,250,10,0,149
viðurlag,1,10,0,44,10,0,16
viðskipti,22,10,0,359,10,0,337
viðtengingarháttur,3,10,0,51,10,0,49
viðskiptafræði,12,10,0,274,10,0,213
viðbót,24,10,0,415,10,0,597
viðar,47,10,0,954,10,0,753
viðarkol,3,10,0,51,10,0,49
viðmótshönnun,1,10,0,60,10,0,17
viðskiptaáætlun,1,10,0,46,10,0,16
viðlíking,2,10,0,76,10,0,36
viðurnefni,27,10,0,533,10,0,493
villi,21,10,0,331,10,0,339
villiköttur,1,10,0,85,10,0,15
villutrú,6,10,0,265,10,0,106
vilji,15,10,0,315,10,0,315
vindrós,2,10,0,61,10,0,31
vingjarnlegar tölur,1,10,0,15,10,0,15
vinna,188,10,0,3201,10,0,2967
vinir,12,10,0,196,10,0,189
vinnsluminni,4,10,0,108,10,0,63
vindur,15,10,0,271,10,0,225
vindauga,1,10,0,26,10,0,15
vindhraði,4,10,0,111,10,0,67
vinstri,50,10,0,768,10,0,768
vindmylla,2,10,0,35,10,0,31
vinnusálfræði,1,10,0,47,10,0,18
vinnuveitendaábyrgð,1,10,0,29,10,0,15
vindátt,8,10,0,169,10,0,122
vistfræði,7,10,0,259,10,0,138
vistfang,3,10,0,149,10,0,53
vistkerfi,10,10,0,276,10,0,152
vogar,10,10,0,186,10,0,177
vogarstöng,2,10,0,86,10,0,37
voice,1,10,0,17,10,0,15
vopnuð átök,9,10,0,181,10,0,138
vopn,121,10,0,1992,10,0,1845
vopni,10,10,0,155,10,0,167
vorm,5,10,0,83,10,0,79
vorperla,1,10,0,55,10,0,15
vorpunktur,3,10,0,82,10,0,45
volt,11,10,0,290,10,0,167
volga,2,10,0,50,10,0,34
volta,2,10,0,37,10,0,35
volfram,4,10,0,316,10,0,84
von,236,10,0,3621,10,0,4292
vélbátur,2,10,0,74,10,0,31
vélbúnaður,2,10,0,129,10,0,31
vélamál,7,10,0,128,10,0,108
vélinda,3,10,0,73,10,0,47
vélbyssa,3,10,0,115,10,0,54
vél,246,10,0,4162,10,0,3689
vé,353,10,0,6194,10,0,5326
vegur,168,10,0,2568,10,0,2596
veggfóður,1,10,0,41,10,0,41
vegamót,3,10,0,46,10,0,48
vegabréfsáritun,2,10,0,72,10,0,31
vegalengd,22,10,0,382,10,0,344
veigrunarorð,1,10,0,16,10,0,15
veira,6,10,0,93,10,0,90
veirufræði,1,10,0,66,10,0,17
veigar,11,10,0,182,10,0,176
veiðar,32,10,0,601,10,0,487
veiki kjarnakraftur,1,10,0,18,10,0,18
veigur,1,10,0,15,10,0,16
veiga,18,10,0,278,10,0,275
veisla,7,10,0,106,10,0,100
veitingahús,8,10,0,187,10,0,135
veitur,1,10,0,16,10,0,16
vefur,49,10,0,847,10,0,731
vefsíða,13,10,0,222,10,0,198
vefverslun,1,10,0,14,10,0,17
vefrit,8,10,0,132,10,0,132
vefleiðangur,1,10,0,39,10,0,15
vetur,92,10,0,1610,10,0,1496
vetni,52,10,0,1593,10,0,809
veðurathugunarstöð,32,10,0,670,10,0,541
veðurathugunarmaður,1,10,0,23,10,0,23
veðurathugun,34,10,0,630,10,0,630
veður,127,10,0,2069,10,0,2269
veðurfarsfræði,3,10,0,116,10,0,54
veðurspá,3,10,0,144,10,0,44
veðrun,7,10,0,215,10,0,119
veðurfræði,25,10,0,508,10,0,443
verðlaun,336,10,0,7354,10,0,5440
verkfæri,18,10,0,400,10,0,275
verðbréf,11,10,0,174,10,0,173
ver,6923,10,0,115399,10,0,118727
verðbólga,3,10,0,143,10,0,51
verkfall,7,10,0,135,10,0,112
verslunarleið,6,10,0,175,10,0,91
vera,1056,10,0,15463,10,0,16390
vertíð,4,10,0,76,10,0,63
verksmiðja,20,10,0,396,10,0,298
verund,3,10,0,58,10,0,46
verufræði,10,10,0,188,10,0,165
verkfræði,70,10,0,1404,10,0,1227
verkamannabústaðir,2,10,0,55,10,0,55
vertollur,1,10,0,24,10,0,24
vellir,16,10,0,255,10,0,254
veldisfall,7,10,0,116,10,0,110
velska,5,10,0,107,10,0,78
vesturnorræn mál,1,10,0,22,10,0,18
vestri,245,10,0,5403,10,0,3799
vestar,25,10,0,503,10,0,487
vesturland,19,10,0,363,10,0,313
vestfirðir,1,10,0,21,10,0,16
vesturamt,2,10,0,39,10,0,32
vágur,3,10,0,56,10,0,53
vátrygging,3,10,0,95,10,0,45
vígslubiskup,7,10,0,143,10,0,107
vígvöllur,1,10,0,15,10,0,15
víkingaskip,3,10,0,160,10,0,45
vík,1317,10,0,21773,10,0,22183
víkingur,4,10,0,63,10,0,61
víkingar,8,10,0,132,10,0,114
víkur,452,10,0,7095,10,0,7739
víf,14,10,0,231,10,0,220
vítamín,15,10,0,324,10,0,287
víðar,43,10,0,651,10,0,686
víðnet,1,10,0,80,10,0,21
víðir,5,10,0,141,10,0,80
vínber,3,10,0,74,10,0,51
vínarterta,1,10,0,30,10,0,16
vín,149,10,0,2601,10,0,2324
víetnam,9,10,0,268,10,0,158
víetnamska,6,10,0,143,10,0,118
vímuefni,1,10,0,70,10,0,15
víxlverkun,14,10,0,300,10,0,220
víxlregla,1,10,0,72,10,0,16
vísindagrein,27,10,0,523,10,0,482
vísindaheimspeki,16,10,0,372,10,0,261
vísindaleg aðferð,1,10,0,15,10,0,15
vísindi,51,10,0,1319,10,0,798
vísitala,12,10,0,237,10,0,195
vísa,176,10,0,3326,10,0,2984
vísitala neysluverðs,2,10,0,92,10,0,32
vísindaleg flokkun,1,10,0,16,10,0,15
v,17953,10,0,301614,10,0,276243
aa,280,10,0,4399,10,0,4615
agat,44,10,0,851,10,0,728
agða,72,10,0,1089,10,0,1183
agla,12,10,0,185,10,0,199
agni,163,10,0,2395,10,0,2801
agnar,193,10,0,2979,10,0,2979
agnes,10,10,0,154,10,0,173
akademían,4,10,0,60,10,0,73
akkadíska,3,10,0,148,10,0,54
akurhæna,1,10,0,85,10,0,15
aikido,1,10,0,84,10,0,84
apalhraun,3,10,0,87,10,0,58
apar,94,10,0,1835,10,0,1483
apa,552,10,0,8877,10,0,8620
appelsína,3,10,0,136,10,0,67
aprílgabb,1,10,0,20,10,0,20
apríl,507,10,0,9380,10,0,8539
aftaka,6,10,0,132,10,0,99
afturvirk hömlun,1,10,0,21,10,0,15
afturbeygt fornafn,1,10,0,18,10,0,33
afréttur,2,10,0,35,10,0,30
afríkanska,3,10,0,212,10,0,55
afríka,3,10,0,66,10,0,61
afhöfðun,1,10,0,19,10,0,18
afhending,18,10,0,297,10,0,289
afleiðing,41,10,0,685,10,0,685
afleiðsla,1,10,0,15,10,0,16
afl,1067,10,0,16935,10,0,18657
afleiða,19,10,0,335,10,0,321
afþreying,15,10,0,241,10,0,242
afs,790,10,0,12775,10,0,12269
afstæðishyggja,1,10,0,66,10,0,17
afstæðiskenning,11,10,0,187,10,0,196
atviksorð,9,10,0,201,10,0,141
atvinna,3,10,0,49,10,0,50
atferlisgreining,2,10,0,83,10,0,30
atferlishyggja,1,10,0,108,10,0,18
atferlismeðferð,1,10,0,17,10,0,15
athyglisbrestur,1,10,0,80,10,0,80
athygli,81,10,0,1518,10,0,1379
atlas,1,10,0,18,10,0,17
atla,40,10,0,698,10,0,614
atli,4,10,0,60,10,0,64
atlantshaf,2,10,0,43,10,0,41
ate,439,10,0,7067,10,0,7413
atburðaminni,2,10,0,56,10,0,30
atómmassi,3,10,0,157,10,0,47
aðventukrans,1,10,0,17,10,0,16
aðalsögn,3,10,0,61,10,0,42
aðalborg,1,10,0,16,10,0,17
aðalsetning,5,10,0,125,10,0,79
aðaltenging,5,10,0,130,10,0,72
aðalskipulag,9,10,0,1122,10,0,146
aðalorð,2,10,0,40,10,0,32
aðalsöngvari,8,10,0,128,10,0,125
aðflutningur,1,10,0,17,10,0,16
aðskeyti,5,10,0,120,10,0,95
arabíska,107,10,0,2259,10,0,1891
argon,3,10,0,212,10,0,59
arkitekt,44,10,0,808,10,0,806
ari,3766,10,0,56681,10,0,59905
aris,89,10,0,1529,10,0,1523
aron,20,10,0,310,10,0,311
artúr,1,10,0,16,10,0,15
arna,1104,10,0,17233,10,0,18290
arnar,399,10,0,6200,10,0,6178
are,515,10,0,8124,10,0,9206
ares,11,10,0,187,10,0,182
arent,8,10,0,119,10,0,132
armenska,3,10,0,166,10,0,52
aríi,6,10,0,123,10,0,110
arsen,11,10,0,302,10,0,159
alvar,37,10,0,568,10,0,589
alvin,11,10,0,191,10,0,191
alabastur,1,10,0,55,10,0,55
algyðistrú,4,10,0,150,10,0,64
algildi,5,10,0,79,10,0,82
algebra,7,10,0,210,10,0,113
alæta,2,10,0,34,10,0,32
alkóhól,9,10,0,282,10,0,166
alkalímálmur,8,10,0,264,10,0,120
alkul,3,10,0,138,10,0,46
ali,2110,10,0,37030,10,0,31248
alfa,29,10,0,471,10,0,531
alfræðirit,9,10,0,306,10,0,306
alta,209,10,0,3226,10,0,3420
altari,14,10,0,317,10,0,227
alræði,11,10,0,259,10,0,175
allrahanda,1,10,0,85,10,0,18
allah,41,10,0,620,10,0,663
alnæmi,1,10,0,17,10,0,15
alex,5,10,0,76,10,0,78
alba,57,10,0,1055,10,0,940
albanska,4,10,0,217,10,0,68
albert,3,10,0,45,10,0,51
almenningssamgöngur,4,10,0,70,10,0,66
alma,72,10,0,1293,10,0,1226
almennt ár,2,10,0,39,10,0,31
almannatengsl,2,10,0,75,10,0,33
alí,623,10,0,9401,10,0,9209
alísa,1,10,0,15,10,0,15
alís,37,10,0,617,10,0,565
aldursgreining með geislunarmælingu,1,10,0,21,10,0,17
aldar,807,10,0,13262,10,0,15248
aldís,10,10,0,184,10,0,152
aldursgreining,7,10,0,151,10,0,115
alþjóðastofnun,12,10,0,327,10,0,243
alþjóðlega hljóðstafrófið,3,10,0,79,10,0,47
alþingi,70,10,0,2123,10,0,1084
alsjálfvirkt skotvopn,1,10,0,17,10,0,21
ananas,7,10,0,206,10,0,126
analysis,1,10,0,15,10,0,16
angela,1,10,0,15,10,0,18
angi,249,10,0,4142,10,0,4528
anima,1,10,0,17,10,0,17
anime,30,10,0,1090,10,0,524
anita,7,10,0,125,10,0,116
antimon,2,10,0,205,10,0,42
anton,4,10,0,61,10,0,63
anthrax,1,10,0,16,10,0,15
anja,46,10,0,729,10,0,707
anno domini,1,10,0,98,10,0,17
ann,11770,10,0,192666,10,0,182310
anne,269,10,0,4534,10,0,4335
annes,202,10,0,2983,10,0,3339
anna,3719,10,0,58580,10,0,54434
annus horribilis,1,10,0,15,10,0,20
aníta,2,10,0,32,10,0,35
andrá,4,10,0,63,10,0,78
andhverfa,9,10,0,219,10,0,139
andri,146,10,0,2648,10,0,2616
andrúmsloft,31,10,0,608,10,0,573
andlitsmynd,1,10,0,17,10,0,16
andra,17,10,0,290,10,0,312
andlag,10,10,0,313,10,0,191
andheiti,3,10,0,109,10,0,44
and,11967,10,0,179804,10,0,185476
andlitsbein,2,10,0,62,10,0,32
andaætt,8,10,0,332,10,0,127
andrúmsloft jarðar,2,10,0,39,10,0,31
anders,30,10,0,536,10,0,492
abraham,7,10,0,110,10,0,106
abel,77,10,0,1323,10,0,1273
abba,65,10,0,1241,10,0,1151
abstraktlist,1,10,0,19,10,0,18
auga,281,10,0,5606,10,0,4504
auglýsingar,6,10,0,179,10,0,100
aukatenging,4,10,0,113,10,0,106
aukasetning,7,10,0,171,10,0,111
aukafall,6,10,0,185,10,0,122
auður,32,10,0,479,10,0,541
auðna,3,10,0,46,10,0,49
auðgunarbrot,1,10,0,21,10,0,21
auðunn,1,10,0,15,10,0,16
austurnorræn mál,2,10,0,44,10,0,35
austar,16,10,0,247,10,0,289
austfirðir,1,10,0,18,10,0,17
austurland,11,10,0,210,10,0,184
amal,176,10,0,3312,10,0,2968
amper,12,10,0,347,10,0,195
amperstund,1,10,0,58,10,0,15
amos,17,10,0,261,10,0,288
amtmaður,12,10,0,241,10,0,190
amt,1197,10,0,19612,10,0,19914
amharíska,7,10,0,256,10,0,112
amerískur fótbolti,1,10,0,87,10,0,15
amen,273,10,0,4410,10,0,4707
amd,165,10,0,2823,10,0,2690
a,20419,10,0,372654,10,0,344189
aó,53,10,0,926,10,0,918
ada,532,10,0,8929,10,0,10187
adam,8,10,0,147,10,0,123
adel,28,10,0,559,10,0,432
addi,19,10,0,324,10,0,343
adda,29,10,0,534,10,0,480
axel,10,10,0,167,10,0,153
ask,1049,10,0,16341,10,0,17037
askur,26,10,0,422,10,0,478
asp,99,10,0,1735,10,0,1737
aspar,5,10,0,89,10,0,94
astrid,1,10,0,18,10,0,16
asía,28,10,0,449,10,0,487
assa,253,10,0,3898,10,0,4767
gagnfræðaskóli,2,10,0,35,10,0,29
gagntæk vörpun,2,10,0,62,10,0,34
gagnkynhneigð,2,10,0,45,10,0,43
gagnagrunnur,4,10,0,97,10,0,61
gagnkvæmni,1,10,0,44,10,0,16
gapastokkur,1,10,0,34,10,0,16
gata,103,10,0,1802,10,0,1624
garðar,18,10,0,299,10,0,291
garnaveiki,2,10,0,86,10,0,35
garði,84,10,0,1266,10,0,1389
garri,7,10,0,115,10,0,121
garður,102,10,0,1701,10,0,1687
garpur,4,10,0,71,10,0,60
garðakál,6,10,0,202,10,0,95
galdramaður,5,10,0,100,10,0,80
galdrastafur,1,10,0,17,10,0,16
gallblaðra,1,10,0,25,10,0,22
galdramál,1,10,0,21,10,0,15
gallrás,1,10,0,18,10,0,15
galdur,5,10,0,118,10,0,77
gall,51,10,0,1045,10,0,819
galeiða,2,10,0,38,10,0,33
gana,32,10,0,527,10,0,614
gabbró,2,10,0,43,10,0,34
gabon,2,10,0,39,10,0,33
gaumljós,2,10,0,50,10,0,33
gautur,2,10,0,28,10,0,30
gaukur,3,10,0,45,10,0,47
gaupa,1,10,0,124,10,0,17
gaumstol,1,10,0,43,10,0,43
gamlárskvöld,4,10,0,58,10,0,62
gamma,11,10,0,236,10,0,178
gammageisli,1,10,0,23,10,0,16
gamanmynd,14,10,0,248,10,0,280
gamla bíó,1,10,0,39,10,0,16
gaddavír,2,10,0,76,10,0,38
gas,993,10,0,16083,10,0,18273
gægjuhneigð,1,10,0,64,10,0,24
gæðingur,1,10,0,16,10,0,15
gæs,58,10,0,1239,10,0,907
gæsalappir,1,10,0,144,10,0,18
gif,3197,10,0,48550,10,0,45490
gifting,12,10,0,214,10,0,202
gils,94,10,0,1636,10,0,1519
gilbert,3,10,0,49,10,0,49
ginseng,1,10,0,36,10,0,21
googol,2,10,0,103,10,0,36
google,1,10,0,17,10,0,15
googolplex,1,10,0,76,10,0,16
gotneskur,1,10,0,65,10,0,18
goði,14,10,0,334,10,0,212
goðafræði,147,10,0,2764,10,0,2236
goð,221,10,0,3999,10,0,3742
gorkúla,1,10,0,43,10,0,17
golfklúbbur,7,10,0,142,10,0,111
golfvöllur,3,10,0,74,10,0,49
golf,16,10,0,424,10,0,256
gosdrykkur,4,10,0,81,10,0,60
gramm,27,10,0,548,10,0,502
grameðla,1,10,0,90,10,0,16
grasaætt,19,10,0,720,10,0,294
grafík,11,10,0,169,10,0,174
